Kategori,Tweet,Sentiment,problem
jak,@fioriennn aku begini kalo lagi ada duit dan capek ajah. sisanya tim #jaklingko,Negatif,"['Masalah Pembayaran', 'Emosi/Frustrasi']"
jak,@marienterlude aku tim jaklingko + tidur,Negatif,[]
jak,guys kalian prefer ngeluarin 45k buat naik gojek dengan waktu tempuh 30 menit atau gratis (pake jaklingko) dengan waktu 2 jam? serius nanya yeah ,Negatif,[]
jak,Brarti alternatifnya : 1. Ibu2 ke pasar gak blh bli ikan/udang/daging seger 2. Ibu2 yg bru ja blanja ke oasar gak blh naik TJ/BRT/Jaklingko . Gtu kan maunya? ,Negatif,[]
jak,Bau yg menyengat tuh gak cma ikan/daging segar ya. Makanan take-away jg byk yg baunya nyegrak ke mana2 Skalian tambahin aturannya : yg bru aja bli bungkusan makanan bwt bekel mcm bakso soto kuah dll GAK BLH NAIK JAKLINGKO ‼️,Negatif,['Kondisi']
jak,Lecet dah kaki ngiterin ragunan mana nyasar naik jaklingko nya wkwkwkwkw,Negatif,['Navigasi']
jak,Nunggu jaklingko lama bgt co,Negatif,['Keterlambatan']
jak,Sopir mikrotrans @JaklingkoApps @PT_Transjakarta aneh2 ya skrg? Bru ja naik Jak112 dr dkt PsrJayaKlpGdg dikomen sopirnya : bnrnya klo bawa ikan gak blh naik. Kbtulan mang bru aja bli udang basah Klo mang bnr gtu bikin aja peraturan : IBU2 PLG DR PSR GAK BLH NAIK JAKLINGKO‼️,Negatif,"['Pelayanan', 'Kondisi']"
jak,supir jaklingko pengen w gebug kplanya smpe bunyi DEGH alias lo nyetir ngebut bgt stresss,Negatif,"['Pelayanan', 'Emosi/Frustrasi']"
jak,Ke Kuil Murugan Jakarta Barat dengan Commuter Line &amp; Jaklingko https://t.co/fOJKWDHRF8,Negatif,[]
jak,TERJYTA ADA TJ DAN JAKLINGKO TPI KITA DI SURUH JALAN??! gimana yaa penjaga tj mya sama sekali gaa sollutif ga kasih solusii!tolong di kasih info mengenai apa aja transportasi umum yg masih bisa di jangkau untuk ke hakte pemuda rawamangun misal ada peralihan tj! @PT_Transjakarta,Negatif,['Pelayanan']
jak,@xqiuxiao @tanyarlfes Oiya bisa jaklingko ya thank you infonyaa ,Negatif,['Emosi/Frustrasi']
jak,Seharian naik krl - jaklingko lelah bgt ,Negatif,['Emosi/Frustrasi']
jak,Yeuh namanya jg jaklingko udh tau muat 1 doang malah ngedumel kalo mau ber3 naek angkot aj bjir,Negatif,['Emosi/Frustrasi']
jak,Experience sama Jaklingko hari ini kurang menyenangkan. Udah tadi berangkatnya kudu nunggu lama sampe diskip 4 mobil pulangnya ketemu orang stres. Kakiku tiba-tiba ditendang keras banget. Trus dia marah-marah katanya aku ngatain dia kampung hmmm aku lho meneng ae Mbak,Negatif,"['Keterlambatan', 'Pelayanan', 'Kemacetan']"
jak,day 3 naik transportasi umum non ojol mengira truck adalah jaklingko,Negatif,[]
jak,@rawrsroarr Gk ada nma ciki jaklingko ya,Negatif,[]
jak,Naik jaklingko sendiri dan baru inget suara aku lagi hilang total. Ini nyetopnya gimana? ,Negatif,"['Navigasi', 'Ancaman']"
jak,SERU BGT NAIK JAKLINGKO,Negatif,[]
jak,Saban hari marah2 gegara sopir jaklingko kek kntl,Negatif,['Pelayanan']
jak,suka banget tinggal dicibubur mau kemana-mana tinggal jalan kaki atau naik jaklingko mau nkngkrong banyak cafe banyak warkop mau jajanan banyak orang jualan,Netral,[]
jak,In this economy kalcer adalah org2 keren naik jaklingko wkwk,Negatif,[]
jak,@RevanDanuarta33 @alifallll @v_frontline_pc Ketum nempel ka pulitisi ge eh damang ajaaaah~~~ Daek disetir jadi jaklingko politik,Negatif,[]
jak,pramudi jaklingko nya wibu anjir dengerin soundtrack anime terus wkwk,Negatif,"['Ancaman', 'Emosi/Frustrasi']"
jak,Meymu naik jaklingko https://t.co/DgZs2JuL2T,Negatif,[]
jak,demi allah gw naik jaklingko kepala gw lgsg migrain mana grasak grusuk banget syibal TD GUE NAIK DIA MALAH BERENTI TENGAH JALAN MAU GUE DITABRAK MOBIL KH MANA MOBIL NGEBUT SMUWA https://t.co/d6uU6m2GxL,Negatif,['Pelayanan']
jak,Rencananya mau naik jaklingko abis krl tapi bocil heboh bgt jadi lari lari plus gojek ini mah ujung2nya,Negatif,[]
jak,12.55 Anggota Unit Kamsel Sat Lantas Jakarta Timur dalam rangka #OperasiKepolisianPatuhJaya2025 melakukan sosialisasi Tertib Berlalu-lintas kepada Driver JakLingko di Pangkalan JakLingko Bulak Ringin Cibubur Jakarta Timur. https://t.co/ADLfdDf7Uk,Negatif,"['Pelayanan', 'Emosi/Frustrasi']"
jak,eh tumben mabok jaklingko kek gak pernah naik jaklingko ae,Negatif,['Emosi/Frustrasi']
jak,kalo abigail supir truk gue apa ya? supir jaklingko kali ya?,Negatif,['Pelayanan']
jak,Kuliah 2 sks soal sistem Jaklingko dan bagaimana negara seharusnya hadir dalam menyediakan transportasi umum. Negara harusnya tidak berbisnis dengan rakyatnya termasuk soal transportasi umum. Transportasi umum harusnya bukan mencari profit tapi memberi benefit. https://t.co/ineA168ewH,Netral,[]
jak,Bawa motor atau naik jaklingko aja ya nanti.,Negatif,[]
jak,Gua berangkat jam 5 aja udh ada anak sd nunggu jaklingko njir,Negatif,['Keterlambatan']
jak,@hainana17 ga siap dimarahin di jaklingko,Negatif,['Emosi/Frustrasi']
jak,udh 12 menit gue nunggu jaklingko no 73,Negatif,['Keterlambatan']
jak,@ilyydz Hai Kak. Tarif integrasi bisa dinikmati oleh pengguna Transportasi antarmoda (TJ MRT dan LRTJ). Untuk informasi lebih lanjut silakan menghubugi Customer Care JakLingko: (Whatsapp) : 0812-6000-1440 (Phone) : 021-29223034 (Email) : customercare@jaklingkoindonesia.co.id. Tks ^SN,Negatif,['Masalah Pembayaran']
jak,sumpah 2 hari ini betis gua nyeri bgttt pdhl sminggu ini ga lari atau olahraga apapun untung tadi pas di Manggarai ada jaklingko kosong jadinya gw ga perlu jalan dari halte kerumah wkwk,Negatif,[]
jak,Mau nanya kalo naik jaklingko terus mau turun tuh bilang kiri kah? Atau dia bakal berhenti di semua halte yang dilewatin?,Negatif,"['Navigasi', 'Ancaman']"
jak,@myluvnie nungguin dia le. jaklingko mah banyak dia cuma satu,Negatif,['Keterlambatan']
jak,@maaaahira jujur angkot klo diperbagus bisa kaya jaklingko gasi atau semua angkot jadi wira wiri way better,Negatif,[]
jak,seru jg naik jaklingko tp knp bau ac lembab gt dah,Negatif,['Kondisi']
jak,@kishiitbe mending nunggu jaklingko ap nunggu dia?,Negatif,['Keterlambatan']
jak,@PT_Transjakarta umm muternya jauh yaaa min wkwk. kalo misalnya dari deket halte cempaka ke halte lebak bulus ada jaklingko apa ya? trims,Negatif,['Navigasi']
jak,@mcitraningrum Sepakat kak. Model Transjakarta-BRT-Jaklingko itu bisa diadopsi daerah lain (dengan tetap memperhatikan kondisi keuangan masing2). Kalo transport umum dibangun&amp;terasa efektif nanti juga orang akan beralih ke transport umum.,Negatif,['Masalah Pembayaran']
jak,@madalvra Sabar ya sayang aku lagi nunggu JAKLINGKO nih. ,Negatif,['Keterlambatan']
jak,@meloical ih canggih sekolahnya (iri bsar) apa aku beli lanyard bwt tap kartu jaklingko yak wkwkwk~ tapi akunya kuliah di jogja sii jogja mana ada jaklingko,Negatif,[]
jak,sumpah ya driver jaklingko tuh kayaknya harus sependidikan kayak driver bus transjakarta ada aja bicaranya drivernya yang engga engga sampai marahin penumpang. terlebih driver driver JAK 03 @PT_Transjakarta . dicek emosi para driver kalian. ga sekali saya komplain driver JAK 03.,Negatif,['Pelayanan']
jak,Malem ini pulang dr kantor langsung ke Gancit sama Tata diajakin ndadak. Berangkat naik jaklingko pulang jalan kaki.,Negatif,[]
jak,Yang lucu jamnya tiba-tiba ngeluarin notifikasi Your stress is unusually high these days. Take a rest Dia tau aja kita naik turun transjak mrt jaklingko Jalan kaki muter2 itu kalo di tangan jakartans apa ga notif stress terus tuh Garmin ,Negatif,"['Navigasi', 'Emosi/Frustrasi']"
jak,@damriskywell kalau jaklingko kurang tau dah palingan masuk tender buat update software aja. kalau TOB itu setauku in house transjakarta karena dia nggak pernah ada tender buat sistem TOB yang sekarang dipake &amp; device nya off the shelf (Telpo T10). https://t.co/dJqrFyiehZ,Negatif,[]
jak,@damriskywell ya begitulah fun fact seharusnya pengadaan system QRIS Tap di MRT Jakarta itu terintegrasi sama reader jaklingko (softorb technology) tapi karena ada penawaran yang lebih murah jadinya pake reader qris tap sekarang. https://t.co/ehU7t3Df2Q,Negatif,[]
jak,@PT_Transjakarta sama2 kerja sama2 capek udah malam dan masih harus jalan kaki jauh dari rumah karna di turunin tengah jalan sama driver jaklingko yang ngejar jumlah kilometer tempuh kendaraannya.,Negatif,"['Pelayanan', 'Emosi/Frustrasi']"
jak,@PT_Transjakarta tolong ya driver JAK04 KWK 047 direview lagi kinerjanya berangkat dari Grogol jam 19.30an malam jaklingko rutenya gak sesuai jalur padahal masih ada penumpang dan jadinya di turunin tengah jalan. attitude dan mulutnya juga gak bagus,Negatif,"['Pelayanan', 'Akses/Rute']"
jak,ni kalo mau turun/stop di next stop nya dgn jaklingko gmna sih maap newbie,Negatif,[]
jak,@amewakasa @18169_759375 @shitpostrans oh iya kalo emang mau saklek nyari edisi design kartu jaklingko biasanya cuma cetakan dari mesin vending di halte cuma kalo buat fungsional aja sih si kartu emoney design apa aja bisa kok buat tj-mrt-angkot mikrotrans jadi balik ke kebutuhan pribadi aja,Negatif,['Masalah Pembayaran']
jak,@imcersive @18169_759375 @shitpostrans Kaga ada kalo yg jaklingko,Negatif,[]
jak,tadi ke tempat baru nyoba rute lain yg tampak lebih sleek. sialnya jaklingko penuh terus karena jam pulang sekolah dan ternyata setelahnya bukan TJ tp angkot biasa yg paa di tengah jalan karena macet panjang kd nurunin kami. anak sekolah bilang: bang uangnya udah habis ,Negatif,"['Kondisi', 'Masalah Pembayaran', 'Kemacetan', 'Ancaman', 'Akses/Rute', 'Emosi/Frustrasi']"
jak,Walaupun supir jaklingko galak-galak (nggak semua tapi rata-rata) tetep keren. Kebijakan keren,Negatif,['Pelayanan']
jak,@CurhatKRL Bukan. Punya Tj ada logo Tj sama jaklingko. Itumah keknya beli online cmiiw,Netral,[]
jak,Berarti Pak Anies keren ya bisa ubah angkot jadi jaklingko. Bisa buat ribuan kepala setuju dengan program kerja beliau ‍↔️. Walaupun belum semua daerah Jakarta dijangkau jaklingko tapi itu sebuah langkah bagus dibidang transportasi umum dalam kebijakan publik,Netral,[]
jak,yesss ak dah handal naik jaklingko,Negatif,[]
jak,tag: jaklingko tj transjakarta halte bus halte bus stop halte ps rebo kalisari jak lingko pramudi 25 kalisari ps rebo pasarrebo pasar rebo kali sari x sari berikutjuga penampakan PARA PENUMPANG YG NAIK TIDAK SESUAI ATURAN! DAN yg terpenting tersorot ibu-ibu yg sedari awal ,Negatif,[]
jak,@Balwerk @beeeemooooo Tiga biang macet lampu merah Rawa Belong yang samping Roti Romi pas maghrib 1. Motor 2. Supir angkot(both angkot kampung and Jaklingko) 3. Little Car Going Crazy,Negatif,"['Pelayanan', 'Kemacetan']"
jak,@drhaltekehalte Padahal enak turun di halte smk 57 min abis itu naik jaklingko 47 nanti turun di cilandak situ,Negatif,[]
jak,@PT_Transjakarta Slmt mlam Hri ini saat pulng krj skitar jm 18.20an sy menunggu d busstop berdikari pd saat itu ad jaklingko ksong dn tdk mw brhnti jalan kencang ngebut dn selalu d jlur knan jak11 kmj 22035 jrsan kbyorn Diarmda trsbut ad cctv bisa d cek Terima kasih,Negatif,['Keterlambatan']
jak,ternyata kesialan gue membawa berkah dpt jaklingko tanpa nunggu.. di krl depan gue ganteng kiri ganteng ahihihi,Negatif,"['Keterlambatan', 'Emosi/Frustrasi']"
jak,monyet ya ketinggalan jaklingko 2 kali terus pas gw nunggu ampe 15 menit kaga dtg2,Negatif,['Keterlambatan']
jak,hidup yo hidup tapi regulasinen. ga ngerti carane? tiru carane jaklingko takon sing wes tau ngelakoni. isin? gengsi? ego?,Negatif,"['Navigasi', 'Emosi/Frustrasi']"
jak,cape bgt smw bapak jaklingko pd not friendly,Negatif,['Emosi/Frustrasi']
jak,konsul ke dokter ga nyampe 5 menit nunggunya 1 5 jam muter muter naik jaklingko 1 5 jam ,Negatif,['Keterlambatan']
jak,WKWK JD KAYA PIL YANG ILANG TERUS TIBA2 ADA DI JAKLINGKO ITUH https://t.co/k9AYGJ3yKt,Negatif,['Ancaman']
jak,dpt uang 100rb perkara sf bapak yg ngasih maaf aku ngmg belepotan krn aku bingung naik jaklingko dmn udh aku doain kok sm mnt bantuin mpus doain jg terimakasih jd org baik dan sayang sm kucing. lancar selalu rezeki dan bahagia selalu yaah tlg tmntmn aamiinin,Negatif,"['Masalah Pembayaran', 'Navigasi']"
jak,lagi memandang semua jaklingko mana aja yang memadai buat ampe kampung melayu,Negatif,[]
jak,omg bapak jaklingko hr ini made my day; dia nge doain penumpang yg turun biar selamat sampe tujuan,Negatif,['Kemacetan']
jak,@18169_759375 @shitpostrans bukan e-money tapi waktu itu dapet tapcash jaklingko di halte lebak bulus,Negatif,['Masalah Pembayaran']
jak,min jaklingko 10b beroperasi gak? @PT_Transjakarta,Negatif,[]
jak,Makanya tadi gue pas balik buru2 banget karena ngejar pengiriman. Kalo ke drop point perlu naik jaklingko 2x. Yaa walaupun deket sih... Cuma capek,Negatif,['Emosi/Frustrasi']
jak,@kompascom Konsep Transjakarta dan JakLingko yang digagas oleh Anies Baswedan fokus pada sistem transportasi umum yang terintegrasi untuk memudahkan perpindahan antar moda transportasi serta meningkatkan kesejahteraan warga Jakarta. Secara keseluruhan visi Anies Baswedan adalah menciptaka,Netral,['Keamanan']
jak,pertama kali naik jaklingko ada ACnya knp di jakbar gaada ya .,Negatif,"['Infrastruktur', 'Emosi/Frustrasi']"
jak,@kompascom Harusnya bisa di-manage seperti di jakarta Jaklingko . Boleh study banding ke DKJ mestinya.,Negatif,[]
jak,apalah aku tanpa jaklingko dan perpusjkt cikini73 https://t.co/bQwEc0LO19,Negatif,[]
jak,@diaviern @kompascom ntinya ada 2 hal: 1. ga kepikiran ampes kesitu 2. kepikiran tapi gengsi mau niru jaklingko padahal transum jakarta untuk percontohan daerah2 lain dari menhub sendiri lho statementnya tapi ga tau dah daerah lain mau nyontoh apa kagak,Negatif,['Emosi/Frustrasi']
jak,Apa bagusnya gue renang aja ke korsel terus lanjut jalan kaki ama naik jaklingko ke rumahnya kwan di jeju ya,Negatif,[]
jak,@yuuyaphile_ @kyomobabes Mjb mau nambahin buat kokas kl semisalnya ga terbiasa dgn transum jkt mending jgn deh soalnya ke sana nanti agak ribet abis St Tebet kudu naik jaklingko/tj non brt (and kokas soo crowded pribadi kurang suka) kalo cp jg plng accessible sama tj sih tp bisa dari st grogol,Negatif,['Navigasi']
jak,Diguyu TJ ambek Jaklingko,Negatif,[]
jak,@sbyfess dengan jaklingko jakarta dapet sustainable transport award 2021 mengalahkan frankfurt moscow san francisco dan sao paulo. apa susahnya si tinggal contoh kebijakan anies buat warga kota mayoritas 58 ini. gengsi amat,Netral,[]
jak,jaklingko https://t.co/NAb6Jhyp8b,Negatif,[]
jak,Jaklingko masih bisa hidup anyway just saying.,Negatif,[]
jak,@sbyfess contoh aja jaklingko angkot tetap beroperasi tapi trayek jalan kecil tujuan halte trans kasih subsidi atau digaji pemerintah. jalan besar jatahnya trans dan bus besar lainya. mikir ngene ae kok gaiso,Negatif,['Regulasi/Operasional']
jak,@ourdochsun iyaaa tulisannya 'roka jaklingko',Negatif,[]
jak,@ourdochsun iyaa td jaehyun naik jaklingko,Negatif,[]
jak,@shitpostrans oot nyari kue emoney jaklingko di mana? ketemunya dki mulu,Negatif,['Masalah Pembayaran']
jak,@saitoodeshou iyaaa krl sama jaklingko aja udah,Negatif,[]
jak,@letskilldislop Terhantung cipayung dimananya dulu dari keb. lama naik tj koridor 13B terus nyambung ke kodidor 9 buat ke arah TMII abis itu bisa nyambung Jaklingko nomer 36 atau 19 kalo krl bisa tp nanti nyambung lrt ke arah harjamukti ada ciracas ada kp. Rambutan dan ada tmii,Negatif,[]
jak,@PT_Transjakarta min kalo dari stasiun jakarta kota mau ke bca kcu gajah mada itu ada tj atau jaklingko gak yaa,Negatif,['Infrastruktur']
jak,@txttransportasi jakarta punya mikrotrans/jaklingko surabay punya warawiri,Negatif,[]
jak,@juraogan Ada tj nonbrt tpi armadanya sdikit bgtt dan cmn satu jalur. JakLingko gaada,Negatif,['Akses/Rute']
jak,@kalembgtt Bukannya ada TJ sama jaklingko ya?,Negatif,[]
jak,Adek gue dikasih tau naik jaklingko yg lebih enak tinggal tap doang gratis pula malah naik angkot ,Negatif,[]
jak,@zoelfick Ayo dong mas Eri dan cak Ji @PemkotSurabaya dipikirkan yang serius dan fokus. Terlalu banyak angkot malah jadi sumber kemacetan apalagi tidak diatur dengan sistem mirip @jaklingko di Jakarta. Karena ciri kota besar modern layanan transportasi nyaman tepat waktu&amp; lancar,Negatif,['Kemacetan']
jak,Baru ngeh kalo reset ternyata kepotong ya pas itu naik jaklingko padahal ,Negatif,"['Pelayanan', 'Masalah Pembayaran']"
jak,Min info donggg jaklingko 10a dan 10b yg manaa yg masih beroperasi ya @PT_Transjakarta,Negatif,[]
jak,Lek gurung iso ngatur angkot koyo mikro trans jaklingko ojok berharap wong-wong gelem ngae angkot. Wes larang berhenti sak karep e dewe nggak onok regulasi aku sih moh pisan,Negatif,[]
jak,jaklingko ajg,Negatif,['Emosi/Frustrasi']
jak,@zoelfick Masalahnya angkot bny yg bodong kalau ngga pasti semua sdh msk Jaklingko di JKT sehingga sopir nya lbh sejahtera dan tidak ugal-ugalan,Negatif,['Pelayanan']
jak,@versatuan58531 @pamungkas_ari @ARSIPAJA jaklingko contoh satunya bang yg di Purwakarta udh ada apa aja?,Negatif,[]
